group_id,group_name,group_url,activity_status,last_checked,evidence_url,notes
569363908759011,ANUNCIOS CLASSIFICADOS BRASILEIROS EM SAN FRANCISCO BAY AREA CALIFORNIA,https://www.facebook.com/groups/569363908759011/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has publication-ledger records"
607264419291542,Empreendedores Brasileiros dos EUA,https://www.facebook.com/groups/607264419291542/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
1321298031868779,湾区华人群,https://www.facebook.com/groups/1321298031868779/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
701793673266894,湾区生活资讯,https://www.facebook.com/groups/701793673266894/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
486714909111555,"Brasileiros Na Bay-Area (apenas residentes da Bay Area )",https://www.facebook.com/groups/486714909111555/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
429864996288954,"Hayward, CA community",https://www.facebook.com/groups/429864996288954/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
1612919125666281,Hayward Market Place,https://www.facebook.com/groups/1612919125666281/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
1208142776512766,Cheap Cars for sale Under $10000,https://www.facebook.com/groups/1208142776512766/,no_activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"No group-post activity found in the activity-log sweep"
909916669126338,🇧🇷 Brasileiros em San Francisco e Bay Area 🇧🇷,https://www.facebook.com/groups/909916669126338/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
268701551910212,AUDI A4 B9,https://www.facebook.com/groups/268701551910212/,no_activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"No group-post activity found in the activity-log sweep"
694880804827885,美国华人圈,https://www.facebook.com/groups/694880804827885/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
2003953059891732,"Fragrance Swaps, Trades, & Sales",https://www.facebook.com/groups/2003953059891732/,no_activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"No group-post activity found in the activity-log sweep"
2991066994543940,巴西🇧🇷华人交流群,https://www.facebook.com/groups/2991066994543940/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
3175005609454078,巴西华人群|Overseas Chinese In Brazil,https://www.facebook.com/groups/3175005609454078/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
mybrazil,巴西华人,https://www.facebook.com/groups/mybrazil/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
capeople,加州华人(美国)🌹移民留学 旅游签证 租房买房 地产经纪 买车卖车 车行保险 电脑手机 法律咨询 招聘求职 医疗保健 个人报税 生意广告,https://www.facebook.com/groups/capeople/,activity_found,2026-08-22,https://www.facebook.com/me/allactivity/?category_key=GROUPPOSTS,"Has a publication-ledger record"
